song,artist
Mr. Nobody & His Nefarious Friends,"Kill the Motherboard, Jack Splash, Jon Brown"
Appleby Blues,"The Gordon Beck Trio, Tony Levin, Jeremy Brown"
Lullaby (arr. for orchestra),"George Gershwin, Dallas Symphony Orchestra, Andrew Litton"
Ma belle,MRC
Guede Zaina,"""Oscar DLeón"""
Hot Foot (feat. Jammin Joe),"Snappy Jit, Jammin Joe"
That's My Train,David Shelley & Bluestone
"Prince Igor: Ni sna, ni otdykha - Vocal","Alexander Borodin, George London, Kurt Adler, Metropolitan Opera Orchestra"
Crying Won't Make Me Stay,Jay McShann
Mi Señora,"Yaga & Makie, Makie"
In the Real World (Archive Recording),Cabela and Schmitt
瞬間センチメンタル,SCANDAL
Cantem Nadal,Bregada Berard
Du kan få mig när du vill,Lena Philipsson
Slow Strathspey: Beauty Of The North / Reel: Geordie Affleck,"""Scottish Fiddlers Group"""
Good Louisiana Daddies,MOJO & The Bayou Gypsies
Pacjam Style,Dj Uncle Al
High Hopes,"Crescent Moon, Big Trouble"
Animatronic,Celldweller
Bring It On Home,Becky Barksdale
Without Love,Tracy Nelson
Eyes,RÜFÜS DU SOL
Toward Home,Rhiannon
St. Peterburg,Uncut
Conquer,MindSlayer
A Ripping Trip,Dick and Carol Holdstock
Siete Mujeres,"8, Mas#"
Anecdotes & Reflections: IV. Larghetto,Rick Sowash
What's Wrong With That,Lonestar
Be Someone,"CamelPhat, Jake Bugg"
"Commiserate, Not Commiserate",The George W Bush Singers
Plan Bis,Rainbow Girls
Frustrated Unnoticed,Damone
Pregnancy Fantasy,Ryan Allen And His Extra Arms
X-Ray Soda,Laura Shigihara
Deportees (Plane Wreck at Los Gatos),Sammy Walker
Un Dia Nublado (with Mariachi Vargas de Tecalitlán),"José Alfredo Jimenez, Mariachi Vargas De Tecalitlan"
"Vibes Cartel (feat. Wonda Woman, Desert Eagle & King Magnetic)","Cappadonna, Wonda Woman, Desert Eagle, King Magnetic"
Sad And Blues,Jimmy Dawkins
Highway to Hell,8-Bit Misfits
I Can't Stop,Will Smith
Unicorn,bel canto
What Else Could It Be?,Lambchop
Pray for Salvation,Old Man Jasper
Constantly Dissatisfied - Live from KCRW,Niia
"Serenade for Strings in C Major, Op. 48, TH 48: III. Élégie","Pyotr Ilyich Tchaikovsky, Alexander Titov, St. Petersburg Conservatory Orchestra"
"Keyboard Sonata No. 58 in C Major, Op. 70, Hob. XVI:48: I. Andante con espressione","Franz Joseph Haydn, ""John OConor"""
Attention,Impossible Situations
Mantra,Samurai
Hold On,Side A
Silent Night,Jo Dee Messina
Mary's Boy Child,Harry Belafonte
Finding Me,Vertical Horizon
Oito Anos,Adriana Partimpim
Amazonia,Azymuth
Yo Voy,Nolo Y Phade
Tumbala (Oreja Remix),"Novalima, Oreja"
Soul Deep,Lisa Stansfield
Electrostatic Brainfield,Man Or Astro-Man?
It's the End of the Western,"Wesley Willis, The Dragnews"
Jazz Thing,Gang Starr
"Electra, Act II: Electra: ""You Were Here and Hid...""","Mikis Theodorakis, St. Petersburg State Academic Capella Orchestra"
Aura Lee - Instrumental,Mickey Raphael
Love Fading,W. James Taylor
My Gun Let Me Down,Zak Schaffer
Mi Bienvenida,Manolo Galvan
Reality Tunnel,Eye Flys
'Round Midnight (arr. for brass quintet),"Cootie Williams, Thelonious Monk, Anonymous, Blechbläserquintett des Deutschen Symphonie-Orchesters Berlin"
Mesquinhez,Karlla Naynna
No Compromise (Bonus Track),Result
Королева,Маша Распутина
Stories From the Forest - Part 6,Thom Brennan
"Let Rosemary Rock Him, Laura-louise",Grant Hart
Sinners,Taylor Pursley
Play That Funky Music,Brian Culbertson
Violin Sonata (arr. C. Palmer): II. Variation 2: Quasi improvisando,"William Walton, Christopher Palmer, Lydia Mordkovitch, London Philharmonic Orchestra, Jan Latham-Koenig"
Too Bad,The Dead Weather
Time After Time,Jon B.
Homeward Bound,Pfannestil Chammer Sexdeet
Adonis (E39 Killer Looks Remix),Lightyear
The Glow,The Dead Deads
"Thou Wast, O God, and Thou Wast Blest","Thomas Tallis, Rodolfus Choir, Ralph Allwood"
S.O.S.,Vigilantes Of Love
∆••••∆,"Darius Jones, The Elizabeth-Caroline Unit"
"II. Allegretto (excerpt) from Symphony No. 7 in A Major, Op. 92 - Instrumental","Ludwig van Beethoven, Sir Georg Solti, London Symphony Orchestra"
Chant Pastiche,Erik Wøllo
Soul Love,Vee Mukarati
Inside My Soul,Logistics
In The Face Of Evil,Magic Sword
The Wheel,µ-Ziq
Sabor a Mí,Los Tres Ases
She Loves You,"""Pickin On Series"""
Nouvelle agréable,"Beckwith Ensemble, Darryl Edwards, Dianne Aitken, Lisa Lindo"
Feed Me to the Lions,Collide
Moving South,Bob Margolin
Night Steppa (Ft. Roger Robinson),The Bug
Sabes - En Vivo,Óscar Chávez
Different You - Approaching Black Vocal Remix,"LaMeduza, Stendahl, Approaching Black"
Years Younger,Ctrl
Gaza danse - Live au Forest National de Bruxelles 2011,Yannick Noah
Prelude in the Dorian Mode (After A. De Cabezón),"Percy Grainger, Kongelige Norske Marines Musikkorps, Bjarte Engeset"
A Version I Can Feel Dub,King Tubby
"Ach wie flüchtig, ach wie nichtig, BWV 26: Recitative: Die hochste Herrlichkeit und Pracht (Soprano)","Johann Sebastian Bach, Joanne Lunn, Katherine Fuge, William Towers, Peter Harvey, The Monteverdi Choir, English Baroque Soloists, Paul Agnew, John Eliot Gardiner"
Drownin' Without Love,TapWater
No Time,Post Mortem
She Won't Go,The Last Vegas
The Lass O' Patie's Mill / Timor The Tartar / Da Merrie Boys O' Greenland,Fiddlers Five
Efter Livet,Zhala
Body 2 Body,MK
Sophie Weeps,Richard Pleasance
Icebreaker - Slam Edit,Simon V
A la Luz de la Luna,Indio Solari y los Fundamentalistas del Aire Acondicionado
Shake Dat Ass (Feat. Chubbie Baby & Juelz Santana),"Gucci Mane, Juelz Santana, Chubbie Baby"
Prelude - Intro,Blackfish
Driving in Geneva,"Alexandre Desplat, The Hollywood Studio Symphony"
Power,Unwoman
Mejor me voy (Better That I Leave),Mariachi Los Camperos
Customer's Throat,Robert Pollard
Pick Up The Pieces (feat. David Sanborn),"Kenny G, David Sanborn"
Southside Ryders,II Tone
"White-flowering days, Op. 37","Gerald Finzi, Finzi Singers, Paul Spicer"
Nardis,Carl Fontana Conte Candoli Quintet
Stillness (Sokoun),Dina El Wedidi
Call Up An Old Friend,UHF - Ulrich Henderson Forbes
"Klage, WoO 113 (1790 Version)","Ludwig van Beethoven, Daniel Johannsen, Bernadette Bartos"
"Trombone Concerto No. 12, Op. 52: II. Andante tranquillo","Vagn Holmboe, Ole Edvard Antonsen, Max Artved, Tim Frederiksen, Jacques Mauger, Danish Radio Sinfonietta, Hannu Koivula"
Rollercoaster USA,Jimmer
Recital 2,Hecq
Infestation,Midnight Syndicate
Shine a Light - Live,Spiritualized
"String Quartet No. 6 in F Minor, Op. 80, MWV R30: III. Adagio","Felix Mendelssohn, Quatuor Alcan"
Wherever You Go,Liz Beattie
Roll On (feat. Afroman & B-Legit),"E-40, Afroman, B-Legit"
"Prairie Fire, From Native American Ambiances",Soli Deo Gloria Cantorum
Earthsong,Karunesh
Milky Way,Warren H. Williams
The First Noel,Steve Anderson
"Piano Trio No. 2 in F Major, Op. 80: III. In mässiger Bewegung (Live)","Robert Schumann, London Bridge Trio"
Interim 1,The Heads
El Don,Fu Manchu
UnderWater,Else & Poki
Mea Culpa,Elizabeth & the Catapult
Eugene Onegin (Lyrical scenes in three acts) (Act 1): Chorus and dance of peasants,"Pyotr Ilyich Tchaikovsky, Emil Tchakarov, Sofia Festival Orchestra"
The Grip of the Cobra,The Horrorist
Gone in a Day (feat. Chris Severe),"DJ Phresh, Chris Severe"
Eat The Rich,Krokus
Stick Together,John Mark Nelson
Derivado 3,Gonzalo Rubalcaba
All American Catholic Boy,The Erotics
Falling Apart,"Eli Sostre, Johan Lenox"
Waverly,"""Marthas Trouble"""
"13 Pieces, Op. 76: No. 5 Consolation","Jean Sibelius, Håvard Gimse"
Forgive Me My Love (feat. Death Cab for Cutie),"Yoko Ono, Death Cab for Cutie"
"Martha: Act I: Gnaden Tristan Mickleford! (3 Servants, Lady) - Trio: Schone Lady und Cousine (Tristan, Lady, Nancy, Maids, Chorus)","Friedrich von Flotow, Erna Berger, Eugen Fuchs, Berlin State Opera Chorus, Johannes Schüler, Staatskapelle Berlin, Else Tegetthoff"
NEVER TEAR US APART,Smith & Myers
Misunderstood,Dionne Warwick
Weird Beat,"Mr. Bill, MozX"
Everybody Does,Julien Baker
Misty Mountains,Walter Lang Trio
Roller feat. Function - Len Faki Interpretation,"L.B. Dub Corp, Function"
Morireis Como Imbeciles,La Polla Records
Chain Rule Formula,Tonbruket
The Shape Above,Cryptacize
Unity Without Words (Part 1),Scooter
Peggy Sue,The Irish Brigade
Party At the Leper Colony,"""Weird Al"" Yankovic"
Light From a Burning Bridge,Byron Metcalf
One For My Baby (And One More For The Road) (reprise) - Live Version,Tony Bennett
"Tree Strong, Tall Swaying, Swinging, Sighing","Tore Brunborg, Eivind Aarset, Steinar Raknes, Per Oddvar Johansen"
Penblwydd Hapus Iawn,Breichiau Hir
J and 3K,Extra Happy Ghost!!!
"The Great Beyond (7"" Edition)",Half Way Station
Desert Sands,"Jay Gelis, Gerry Beaudoin and the King of Strings"
I'm Back,The Big Boss
Old Cheap Sneakers - Studio,Larry Donn & The Killer Possum Band
Let's Get Cozy,Black Sheep
Here's to Life,Marilyn Scott
Chemicals,"Brotha Lynch Hung, Doomsday Productions"
Wish You Were Here,Kid Galahad
Amor De Contrabando,Pasion Vega
Ursuako Kantua,Benito Lertxundi
La Gueussinette,"Raz-de-Marée, Tidal Wave"
Duan Na Muiligheartaich & Laoi Na Mna Mora,"Muireann Nic Amhlaoibh, Julie Fowlis"
2020,DJ Spinn
"Trio in E Major, Op. 5, No. 3: IV. Presto","Johann Stamitz, New Zealand Chamber Orchestra, Donald Armstrong"
They Can't Take That Away From Me,Barbara Lusch
Manha De Carnaval,"Country Comfort, Nathan Aweau, Peter Moon, Pauline Wilson, Danny Kaleikini, Dennis Pavao, Kahala Moon, Allan Thomas, Teresa Bright, Gabby Pahinui, Darlene Ahuna, Ken Emerson, Joe Recca, The Sunday Manoa, Robert Cazimero, Roland Cazimero, Lorna Lim, Kohala, Jay Larrin, George Helm, Melveen Leed, Buddy Fo, The Invitations, Robi Kahakalau, Charles Michael Brotman, Moe Keale, 2004 Hawaii Music Awards Compilation Of The Year"
Waiting Room,Kilowatts & Vanek
Not Unique - Via Dolorosa Version,Aiboforcen
One Two Science,DJ Paul Nice
Greensleeves,Ellis Marsalis
Passions,Janie Becker
"Chamber Concerto No. 4, ""Confluence"": IV. —","Ruo Huang, International Contemporary Ensemble"
Keramat,Kiosk
May Life Throw You a Pleasant Curve,"Bitchin Bajas & Bonnie ""Prince"" Billy"
The Mentalist,Mr FijiWiji
Pink Dominos,Crescents
Do You Want My Love,Demuja
Sankt Staffans visa,Stella - Solvieg Ågrens Kammarkör
Holding On (feat. Vanity Jay) - NYC Mix,"James Fox, Vanity Jay"
Freakin Flo's (Feat. OneBeLo),Decompoze
"St. John Passion, BWV 245: Part 2 No. 22: Choral - Durch dein Gefangnis, Gottes Sohn","Johann Sebastian Bach, The Scholars Baroque Ensemble"
Now,Iolande Melody
Keep It Underground,Joan Osborne
"Close Every Door (From ""Joseph And The Amazing Technicolor Dreamcoat"")",Royal Philharmonic Orchestra
The Ride,David Allan Coe
In the Painting,8th Day
Adulting,Beach Bunny
Bad Self,Orville Johnson
I Hate Living,Car Seat Headrest
Sex Kamikaze,Gabi Delgado
God Gave You To Me,Ralph Stanley
A Place Without Harm,Blink Twice
As I Travel,Tim Eriksen
Reddest Sun,Anna Tivel
La Valse de Barnache,"""The OSchraves"""
Sinal,Gloria Groove
Freak,"Prolifik, Razakel"
Blind,Tim Branom
Earth Spirit,Karunesh
Suite For Violin And American Gamelan: Jhala III,Lou Harrison
"Concerto Grosso in G Minor, Op. 3, No. 2: I. Largo e staccato","Francesco Geminiani, Capella Istropolitana, Jaroslav Krcek"
Poursuivi,Offenbach
Don't Sit Under The Apple Tree (With Anyone Else But Me),Glenn Miller
Flor de Cheiro,Penalva
Bust This,M.C. Shy-D
Homeworks,Esplendor Geométrico
Gandhi/Buddha,Holly Near
After Us,"Shofu, Token Black"
I Bought Her (feat. Lil Duke),"Young Thug, Lil Duke"
Make Nice,Saoul
Santeria,Aimee Allen
Shopping Mall Of Love,Sparks
A Little Pride,"Treasa Levasseur, Raoul and the Big Time"
Jerusalem on the Jukebox,Richard Thompson
Ford Explorer,Alexander Charles
Free Peewee Roscoe,Goldmouf
Diamond,Duster
NOPUS,Eric Prydz
Wacht! Euch Zum Streit Gefasset Macht (Das Jüngste Gericht) - Actus 2,Ton Koopman
"Marche héroïque, Op. 34, R. 168","Camille Saint-Saëns, Orchestre National de Lille, Jun Markl"
Heart Song,Merkaba
I Wanna Be A Lifeguard,Blotto
Aquarius,The Hit Crew
Culpada (Mas Mala Que Tu),Wanessa
Petaluma,Jaggery
Michael Ranes,David Dondero
"51 Exercises, WoO 6: Exercise No. 25a In B Minor","Johannes Brahms, Idil Biret"
"As Much As I Ever Could - Live In Halifax, NS May 10th, 2017",City and Colour
Garden Of Eden,Govi
Please Please Please,Mass. Hysteria
Of War and Resurrection,Fogalord
Beautiful Beings,Terri Liles Mason
Anteeks,Ilta
Such A Thin Line,Dual Barrel
Best Guess At Best,Stephen Rippy
Vigilant Always,Swirlies
Heirborn,"Spec, Yung Lyfe"
Sovereignty,"Lukaijah, Monique Benabou"
Little King,Marissa Nadler
Sweep Orbit,Guru Guru
Babalu,Desi Arnaz and His Orchestra
(9-10),"The Cross Movement, John Wells - The Tonic"
Hearts Like Mine Are Broken Every Day,John Pizzarelli
Sir Charles Duke,"Phil Woods, Herbie Mann"
Milky Way,"Neil Young, Crazy Horse"
Blues for Smedley,Robi Botos
The Butcher,Leonard Cohen
"La Navarraise: Act 1: Capitaine, je vois que vous appartenez","Jules Massenet, Marilyn Horne, Ryland Davies, Henry Lewis"
Catch It - Original Mix,Colombo
Haunt,Conveyer
Ambitious Dressing,The Impossible Shapes
At the Public Dance,Doug Burr
Make You Feel (Instrumental),Setting Sun
All Around the World - Remastered,"Lisa Stansfield, Ian Devaney, Andy Morris"
Blackout,CTGP
Quiet Time,Low Cut Connie
Eu Dou Louvor,Circle Music
No Luv In Da H,Freon Icy Cold
Santa Lucia's Processional,Washington Revels Young Singers
Days Gone By,Annie Lou
El Toque,Ranking Stone
Tooth and Nail,Foreigner
Old Joe Clark,Pert Near Sandstone
Athenian,Walls of Jericho
My Christmas Prayer,Mega Ran
Daylight and The Dream,Bob Martin
David's Lib,Mocket
"Holyfields,",Bon Iver
Pronto (Tumble),Gareth Coker
A Phantasy,The Octopus Project
Insinnation,Soundtrack/Cast Collection
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 7 (orch. Schmeling)","Johannes Brahms, Budapest Symphony Orchestra, Istvan Bogar"
Viking's blues,"Kenny Drew, Niels-Henning Ørsted Pedersen"
Wrought In Hell,Impaled
Cul-De-Sac,Cho Young-Wuk
Jumpin' Salty,Sean Costello
The Birdies In The Treetops,Cedarmont Kids
Bioluminess,False Noise
All Dressed In You,Kate York
"Seasons, A Song Cycle for Guitar Quartet: III. Summer","Anthony Wilson, Steve Cardenas, Chico Pinheiro, Julian Lage"
Duo concertant: II. Eglogue I,"Igor Stravinsky, Jennifer Frautschi, Marta Aznavoorian"
Death Is Natural,Pouppée Fabrikk
Die Heirat wider Willen: Act II Prelude,"Engelbert Humperdinck, Malmö Opera Orchestra, Dario Salvi"
"Mazurkas, Op. 33: No. 3 in C Major (Arr. A. Franchomme for Cello & Piano)","Frédéric Chopin, Auguste Franchomme, Louise Dubin, Helene Jeanney"
Kisses In Vain,Cigar Store Indians
Nines Kept Loaded,Trinity Garden Cartel
Some Other Time,Barry Manilow
A Love Story,Kill Bill: The Rapper
Mein Weg zu mir - Live 2006,Udo Jürgens
Lay My Head Down,Harvey Milk
Concierto de Aranjuez,"Wolfgang Haffner, Daniel Stelter, Lars Danielsson, Jan Lundgren, Christopher Dell, Studnitzky"
Maracatu Sh*t,"""Jim Funnells Word Out"""
Calm Down,The Love Language
Messiah: For unto us a child is born,Various Artists
untitled,Jodi Cave
Radio AM,B-Side Players
Everything I Love,T-Rock
shower song,fredo disco
They Follow Me - Live,The Notwist
Born in the Fast Lane,Razorbats
Tarantula (Hardtrance Mix),Domased
Rox II Riches,P.K.O.
You Are Gone,The Delfonics
Solitude,Robinella and the CCstringband
Another Day,TVDS
"Nachtmusiken, Op. 104: III. … for David Drew","Kurt Schwertsik, BBC Philharmonic, H.K. Gruber"
Lightning Storms,Y La Bamba
Glissando,Karin Krog
"Post Tenebras Lux, Pt. 1","Jorge Sosa, Dave Lisik, Inbal Megiddo"
Trade Winds,An Di Yi
Somehow,Boxelder
Black Flowers,Yo La Tengo
La Tripa,37 Hostias
One Foot Over,GB Leighton
All This Pain,HER NAME IN BLOOD
Half the Head,Alpha Hopper
"Piano Concerto No. 4 in G Major, Op. 58 (Arr. for Piano & Chamber Ensemble): I. Allegro moderato","Ludwig van Beethoven, David Deveau, Borromeo String Quartet, Jessica Bodner, Thomas Van Dyck"
You're the Only One,Dolly Parton
Buckeye Rabbit,Red Yarn
Round Of Blues,"Shawn Colvin, Mary Chapin Carpenter"
Después del fin,Ensamble Musicantes
The Rite of Spring (Scenes of Pagan Russia in Two Parts): Part Two - Sacrificial Dance (The Chosen Victim),"Igor Stravinsky, Leonard Bernstein, London Symphony Orchestra"
No Way There From Here,Laura Cantrell
Young Boy's Dream,Emery
It Is,Alain Johannes
All I Want Is You,"Transient, Josefin Glenmark"
"Beethoven - An die ferne Geliebte, S469/R124, ""Liederkreis"": I. Andante espressivo - Allegro —","Franz Liszt, Louis Lortie"
Lonely,Zoë Blade
"Symphony No. 1 in C Minor, B. 9, ""The Bells of Zlonice"": II. Adagio molto","Antonín Dvořák, Staatskapelle Berlin, Otmar Suitner"
"A csodalatos mandarin (The Miraculous Mandarin), Op. 19, BB 82, (version for 2 pianos): III. Sostenuto","Béla Bartók, Claire Quellet, Sandra Murray"
Ideas in Motion,Grace Brancale
"Trio Sonata in D Major for two transverse flutes and basso continuo, QV 2:15: III. Largo","Johann Joachim Quantz, Jean-Francois Beaudin, Mary Oleskiewicz, David Schulenberg, Stephanie Vial"
Louis Riel,Doug Sahm
"Тебе слава, слава","Церковь Краеуголный Камень г. Новосибирск, Наталья Доценко"
Apareciste,Mike Bahía
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Ludwig van Beethoven, Zagreb Philharmonic Orchestra, Richard Edlinger"
Ghosts And Gargoyles: VI.,"Henry Brant, Robert Aitken"
Mambobola,Zsa Zsa Padilla
Longstreth,Sweet Billy Pilgrim
La traviata (Sung in English): Act III: You have kept your promise … (Violetta),"Giuseppe Verdi, Valerie Masterson, John Brecknock, Christian Johannes Du Plessis, Della Jones, John Gibbs, Roderick Earle, Dennis Dowling, Geoffrey Pogson, Shelagh Squires, Edward Byles, John Kitchiner, English National Opera Chorus, English National Opera Orchestra, Sir Charles Mackerras"
Breathe Deeply,MMYYKK
Vazgeç Gönül,Zeynep Dizdar
"Piano Sonata No. 18 in G Major, Op. 78, D. 894: II. Andante","Franz Schubert, Jenő Jandó"
A Perfect Peace,Marc Seal
Break The Line - G-ball & Kaa Remix,"Guano Apes, G-Ball, Kaa"
"Existence, Our Exile",Flesh Born
"Tjønneblomen, vals","Loretta Kelley, Matt Fichtenbaum"
Loving You,Barbara Cook
Theme from Amboy,Spindrift
Twilight of the Fishermen,Tom Hagerman
25 Miles,Roy Buchanan
Red Wine - Instrumental,Dna
"Symphonic Studies in Form of Variations, Op. 13: Etude 6 - Variation 5: Agitato","Robert Schumann, Ragna Schirmer"
Flow,Monks of Doom
She Don't Use Jelly,The Flaming Lips
Closing Prayers,"na Not Applicable, Alan Jones"
Leaves on the Altars to the Moon,Dunwich
"Romeo and Juliet Suite No. 2, Op. 64ter: II. Juliet, the Young Girl","Sergei Prokofiev, Russian National Orchestra, Alexander Vedernikov"
Love Letter - Radio Edit,R. Kelly
Rich Pop Stars (Live),Chumbawamba
Governor,A Sight For Sewn Eyes
Fiesta De Tequila,ROMAN CIGI
Praise Be Man,Russian Circles
I’m Using My Bible For A Roadmap,Rusty York
Afternoon Shape,Dwayne Sodahberk
Stars,Flashback Of Anger
Just For A Moment,Mark Sultan
Sad Sad Kiddie,the pillows
Andy's Room,Buckra
Mere Shadow,Semblant
ex:tella,ELISA
Glory Halleluiah,John McCutcheon
Trapped In Time,Dos Brains
Farewell to Uist,Duncan Chisholm
"5 Orchesterstücke, Op. 16 (Arr. E. Stein & A. Webern): No. 1. Vorgefühle (Premonitions)","Arnold Schoenberg, Anton Webern, Erwin Stein, Urs Liska, Irmela Roelcke, Gotz Schumacher, Andreas Grau"
Day's Lonesome,Steve James
Carousel of Hate,Asmodeus X
Light Up the World,Ruthie Foster
For What It's Worth,Stevie Nicks
Right Now,"Dirty Projectors, Syd"
HELLYEAH: Welcome Home – ‘Honor’ Ep.2,HY Commentary
Knight Hubert,"William Bolcom, John Murphy"
"Symphony No. 8 in C Minor, WAB 108 (1890 edition, ed. L. Nowak): II. Scherzo: Allegro moderato","Anton Bruckner, Konzerthausorchester Berlin, Mario Venzago"
Bolero Falaz,Aterciopelados
Strange Brew,"""Pickin On Series"""
One More Round,The .357 STring Band
Cold Harbour,Brian Protheroe
"Book of Songs, Book 1: Away with these self-loving lads (arr. S. Bergeron)","John Dowland, Sylvain Bergeron, La Nef"
Lonesome Road,The Giving Tree Band
Missa L'homme arme: L'homme arme,"Guillaume Dufay, Oxford Camerata, Jeremy Summerly"
Man with the Golden Gun,Alice Cooper
Spring Always,Hooshyar Khayam
"Concerto for 3 Keyboards in D Minor, BWV 1063: III. Allegro (Live)","Johann Sebastian Bach, Tatiana Nikolayeva, Marina Yevseyeva, Lithuanian Chamber Orchestra, Mikhail Petukhov, Saulius Sondeckis"
Tricks Up My Sleeve,Big Havi
Le jeu de la vérité vraie,Les Inconnus
The Lie that is Sin,YOB
"Christmas; See Me, Feel Me","Jonathan Dokuchitz, Marcia Mitzman, Bill Buell, Jody Gelb, Michael Cerveris, ""The Whos Tommy Ensemble"""
Suite of Old American Dances: IV. Wallflower Waltz,"Robert Russell Bennett, BYU Wind Symphony, Don Peterson"
Bait and Switch,Blake Neely
Fuck Your Band,Buzzkill
Rep for My City,"Komatooze, Swifty Blue"
Metatron,Secret Sound
Di Kita Ma-Reach,APRIL BOYS
To Be Someone - Solo Demo,Andrew Gold
"Actors, Rappers & Wrestlers",Kari Faux
When the Link Becomes Missing,Control Denied
String Quartet in G Minor: I. Allegro ben moderato,"Frank Bridge, Maggini Quartet"
Memories Maze (Terra Nine Remix) (feat. AstroPilot),Terra Nine
Inner Space,Kaito
Independence,Project 86
Summer Romance,New Bomb Turks
Murmullos,Los Cenzontles
Carol of the Bells,Trace Bundy
Ungethuem - Königskinder,Dunkelwerk
"Nocturnes, Op. 27: No. 1 in C-Sharp Minor","Frédéric Chopin, Guiomar Novaes"
Bodies,kudo
Intro,Mums The Word
Three Songs for Soprano and Clarinet: II. To Be,"Johanna Beyer, Marilyn Quaife, Craig Hill"
Let Me Be The Judge,Amber Digby
Holding On to Nothing,Dale Ann Bradley
Näkemiin Pariisi,Veikko Ahvenainen
The Cuckoo,"Tim Eriksen, Riley Baugus"
Виктор Дробыш,Monetochka
It Won't Bring Her Back,Jimmy Webb
Call Me Lightning,Joan Jett & The Blackhearts
Sleeping With the Worms,Diphtheria
By My Own Hand,Brian Langlinais
Homecoming,"Hen, Kornbread"
Ghost Town - Dave Winnel Remix,"Adam Lambert, Dave Winnel"
Santa Claus is Coming To Town (Santa Claus is Cumin'),Blowfly
The Moment - Pure And Simple Mix,Cosmicity
"Teil I - ""Ach mein herzliebes Jesulein""","Dresdner Kreuzchor, Martin Flämig & Dresdner Philharmonie"
Letter To America,John Parr
Mr. Blue - Remastered Version,Michael Franks
In Those Mines,"Valerie Smith, Liberty Pike"
Rababa Wa al-Nay,Aswan Music & Dance Ensemble
They'll No More Suffer from Hunger,Maserati
Night At Arms,No Bird Sing
Guillotine I,"Jean Prodromidès, Orchestre de la Philharmonie de Varsovie"
Glasses (Live 2014),Jonathan Coulton
Netsuai Hakkakuchuu (Sheena Ringo),Cats on Mars
Leather Umbrella,Æthenor
Dog Years,"Malibu Ken, Aesop Rock, TOBACCO"
Set Me Free,"Diplo, LIZ"
Je décolle,Marie-Mai
Lítil Skref (Karaoke Version),Maria Olafs
One Heavy Duba,"""King Tubbys"", Santic All Stars"
The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case"
BEER BEAR,chelmico
"Leonor, Leonor (feat. Lani Misalucha & Noel Cabangon)","Gary Granada, Lani Misalucha, Noel Cabangon"
Step Up,The Toasters
Your Wickedness,Cuts
Silver Memories,Stars Of Stage And Screen
Deep Creep,Summer of Blood
Back to My Job,JGivens
All Gotta Go Sometime,Dave Mason
Poundin' the Pavement (Instrumental),DJ Morphiziz
Illusion,Riminio
Symphony in E-Flat Major: II. Sehr langsam,"Paul Hindemith, BBC Philharmonic, Yan Pascal Tortelier"
A Portion of Paradise,Martin Gordon
Endiendo,Lucrecia Dalt
Pray,True Vibe
I've Got to Find Myself - Instrumental,John Tracy
Walk With Me,Jimmie Lunsford
Younger Bums - Live,Superchunk
"Sailor Song (Live at Homer's Music, Omaha, NE)",The Foghorns
Sonata No. 2 en Si Bemol Mayor: Allegro,Pedro Piquero
Main Title – Sands of Iwo Jima,Victor Young
She’s A Melody (Stupid Song),Paul Kelly & The Messengers
Toot Toot Aa Beirut,Marcel Khalifa
Saloon Brawl,Joel McNeely
I Capuleti e i Montecchi: Act I: No. 5: Propizia è l'ora,"Vincenzo Bellini, Roberto Abbado"
Nostalgic,Smith Beats
One in a Million You,"Graham Central Station, Larry Graham"
Lover's Rock - Remastered,The Clash
Thrones,Alexisonfire
Down in Flames,Stoney LaRue
The Varsoviana - Original Tune / The Varsoviana - Later Tune,Ned Pearson
Been,R. Singh Bikhul
Untitled,Ocmg
Georgia Anne,Bonnie Murray Tamblyn
On ne meurt pas d'amour,Marc Gelinas
Balkans,Fallback
El Chaca Chaca,El Super Show De Los Vaskez
Manha Da Carnaval,Lenny Andrade
Up in Flames - Live,Julee Cruise
It's All Good,Fantasia
Folly - Audiotree Live Version,"""Gabbys World"""
I Can't Hold On,Lorraine Chandler
Colorado Turnaround,The Seldom Scene
Into It,Camila Cabello
When Can I See You - Urban Soul Basement Mix,Babyface
Nun danket alle Gott,"Johann Christoph Altnickol, Alsfelder Vocal Ensemble, Wolfgang Helbich"
Everybody's Talking,Frank Yamma And Piranpa
Suspicious Luna,Potlatch
Wear Me,Ruben Studdard
Some Days (Ft. Paul St. Hilaire),The Bug
Selkuth,Loess
Solang mich deine Liebe trägt,Udo Jürgens
The Toy Soldier,The Cog is Dead
Dag'ron - Audiotree Live Version,Great Time
Prairie Waltz,STEAM!
Inmates (We're All Crazy),Alice Cooper
Lebanese Blonde,Thievery Corporation
LOVE U,Monsta X
Fancy Cherries,Radiation City
"Sonates sans basse: Sonata in G Major, TWV 40:101: Andante","Georg Philipp Telemann, Mindy Rosenfeld, Stephen Schultz, American Baroque"
Chaingang - Jade Remix,"Black Sun Empire, Jade"
Don't Be Like That,The Rhyhmic Eight
Broadway Bossa Nova,Dave Brubeck
She's All Mine,The Nimmo Brothers
Solo Tu Cariño,Jerry Galante
Rememorari,Autism
Tyler's Waltz,Krystal System
